Gene_name	medUPratio	meanrpkm	rpkm_bin
AAAS	0.00625	6.82633061478586	Q5 - highly expressed
AACS	0.00981	0.686011869733363	Q3
AAGAB	0.0054	0.977393671395005	Q3
AAK1	0.02128	0.0532927544976231	Q1 - lowly expressed
AARS1	0.00178	9.88688480539904	Q5 - highly expressed
AARS2	0.00353	2.53296172882709	Q4
AARSD1	0.02604	4.03526432648927	Q4
AASDH	0.00613	0.262986449649419	Q2
AASDHPPT	0.00168	1.34055832396702	Q3
AATF	0.00051	1.40408552101226	Q3
ABCA10	0.03947	0.0508136856966838	Q1 - lowly expressed
ABCA5	0.03963	1.36706834573861	Q3
ABCA6	0.01286	0.686013498254485	Q3
ABCA7	0.00628	1.17527468647006	Q3
ABCB10	0.00559	0.629872453603166	Q3
ABCB4	0.00462	0.201842096727079	Q1 - lowly expressed
ABCB6	0.00452	6.46261608347096	Q5 - highly expressed
ABCB8	0.00823	1.41710993597998	Q3
ABCC1	0.00704	0.425481948410936	Q2
ABCC10	0.0289	0.848664576602914	Q3
ABCC4	0.00883	0.199291210210617	Q1 - lowly expressed
ABCD2	0.02381	0.0677046574689557	Q1 - lowly expressed
ABCD3	0.00094	0.559112793859036	Q2
ABCD4	0.0102	1.85254019355742	Q4
ABCE1	0.00093	7.12557207561111	Q5 - highly expressed
ABCF1	0.00079	9.3216869487573	Q5 - highly expressed
ABCF2-H2BK1	0.00156	6.52614317539551	Q5 - highly expressed
ABCF3	0.00115	11.8063102526225	Q5 - highly expressed
ABCG1	0.02174	0.0841874938843525	Q1 - lowly expressed
ABHD11	0.01818	2.1013833535978	Q4
ABHD12	0.00571	0.632824336659917	Q3
ABHD16A	0.00279	2.94107102731137	Q4
ABHD17B	0.0102	0.126387845390825	Q1 - lowly expressed
ABHD18	0.01554	0.165864991227797	Q1 - lowly expressed
ABHD3	0.01389	0.397783714220668	Q2
ABHD4	0.00935	0.883453416506899	Q3
ABHD6	0.01887	0.218847853519033	Q2
ABI1	0.00253	0.686619936041896	Q3
ABI2	0.02941	0.300272942640274	Q2
ABL1	0.00109	0.121358948078773	Q1 - lowly expressed
ABR	0.00663	0.383894839848796	Q2
ABRACL	0.00192	5.44547407695083	Q5 - highly expressed
ABRAXAS1	0.00505	0.131774165294251	Q1 - lowly expressed
ABRAXAS2	0.00433	0.606226666257338	Q3
ACAA1	0.01946	2.77689182950581	Q4
ACAA2	0.00059	3.6972388302045	Q4
ACACA	0.00425	0.227620326929816	Q2
