clu	intron_length	meanUnprod	intron_length_bin
clu_10	307	0.236689785522788	<1kb
clu_10002	5299	0.0516264075067024	5-20kb
clu_1001	5424	0.00234203753351206	5-20kb
clu_10013	36657	0.172960080428954	20-50kb
clu_10024	24885	0.0624551206434316	20-50kb
clu_10025	97	0.0290351206434316	<1kb
clu_10026	2053	0.0124656836461126	1-5kb
clu_10031	178	0.035036273458445	<1kb
clu_10032	3987	0.151722922252011	1-5kb
clu_10033	710	0.266969517426273	<1kb
clu_10034	301	0.207749973190349	<1kb
clu_10037	3786	0.13143745308311	1-5kb
clu_10038	4777	0.0211399463806971	1-5kb
clu_10047	2727	0.0641065683646113	1-5kb
clu_1005	2930	0.00174075067024129	1-5kb
clu_10053	6163	0.131985415549598	5-20kb
clu_10054	14275	0.0751059785522788	5-20kb
clu_10057	16276	0.0092812600536193	5-20kb
clu_100573	7096	0.298408632707775	5-20kb
clu_100581	2789	0.0143262198391421	1-5kb
clu_100582	1548	0.018239490616622	1-5kb
clu_100583	923	0.00344257372654156	<1kb
clu_100591	548	0.00961396782841823	<1kb
clu_100594	1811	0.132195040214477	1-5kb
clu_100595	155	0.0574141018766756	<1kb
clu_100598	164	0.0740935924932976	<1kb
clu_100599	1653	0.040859436997319	1-5kb
clu_10060	1543	0.019856890080429	1-5kb
clu_100605	1637	0.14910018766756	1-5kb
clu_100606	455	0.0868711260053619	<1kb
clu_100616	9997	0.00674316353887399	5-20kb
clu_100618	25353	0.0204931367292225	20-50kb
clu_100625	4656	0.0301050402144772	1-5kb
clu_100626	1640	0.0149844504021448	1-5kb
clu_100627	3341	0.00695139410187668	1-5kb
clu_100634	3901	0.109211394101877	1-5kb
clu_100638	16422	0.0226762466487936	5-20kb
clu_100640	1597	0.0509001340482574	1-5kb
clu_100643	4000	0.0342385254691689	1-5kb
clu_100651	4965	0.01084418230563	1-5kb
clu_100652	6373	0.0101604021447721	5-20kb
clu_100654	4106	0.00889552278820375	1-5kb
clu_100657	3702	0.188209142091153	1-5kb
clu_100671	141	0.0572811260053619	<1kb
clu_100674	225	0.00697571045576408	<1kb
clu_100683	923	0.0246955495978552	<1kb
clu_100684	6422	0.00955753351206434	5-20kb
clu_100686	271	0.0248648793565684	<1kb
clu_100689	128	0.00138595174262735	<1kb
clu_100690	2154	0.00467868632707775	1-5kb
clu_100699	2041	0.0140550134048257	1-5kb
clu_100700	271	0.0140054423592493	<1kb
clu_100701	2126	0.00562227882037534	1-5kb
clu_100727	179	0.00881292225201072	<1kb
clu_100729	4686	0.0105227613941019	1-5kb
clu_100730	235	0.00975892761394102	<1kb
clu_100736	124	0.0539125201072386	<1kb
clu_100744	112	0.00185319034852547	<1kb
clu_100759	140	0.0366443431635389	<1kb
clu_100766	2249	0.019894235924933	1-5kb
clu_100767	9749	0.0519046648793566	5-20kb
clu_100776	3735	0.00183991957104558	1-5kb
clu_100799	5032	0.128047158176944	5-20kb
clu_100800	475	0.000793056300268097	<1kb
clu_100859	2989	0.00421319034852547	1-5kb
clu_100860	4861	0.0166542627345845	1-5kb
clu_100878	1894	0.12157109919571	1-5kb
clu_100880	2758	0.00200538873994638	1-5kb
clu_100883	1599	0.00085828418230563	1-5kb
clu_100885	1916	0.11223745308311	1-5kb
clu_100886	3096	0.00145329758713137	1-5kb
clu_100892	73298	0.428468042895442	>50kb
clu_10091	5702	0.194459383378016	5-20kb
clu_10092	11249	0.0245923324396783	5-20kb
clu_100926	13331	0.0181583914209115	5-20kb
clu_100928	40653	0.0890582037533512	20-50kb
clu_100929	21880	0.106265040214477	20-50kb
clu_100945	1575	0.251453753351206	1-5kb
clu_100946	1215	0.721325174262735	1-5kb
clu_100953	1852	0.0190965951742627	1-5kb
clu_100978	40116	0.261852010723861	20-50kb
clu_100983	622	0.0141599195710456	<1kb
clu_100986	488	0.00470962466487936	<1kb
clu_100987	90	0.00544699731903485	<1kb
clu_100988	5406	0.0123803485254692	5-20kb
clu_100996	1361	0.000102654155495979	1-5kb
clu_101035	4004	0.00270493297587131	1-5kb
clu_101037	220	0.00290895442359249	<1kb
clu_101039	5288	0.0220590080428954	5-20kb
clu_10104	1893	0.00292466487935657	1-5kb
clu_101040	7365	0.00782804289544236	5-20kb
clu_10105	3895	0.00981943699731904	1-5kb
clu_101056	2651	0.00185152815013405	1-5kb
clu_101057	7338	0.0301319571045576	5-20kb
clu_10106	5501	0.0101585790884719	5-20kb
clu_101078	47105	0.00790868632707775	20-50kb
clu_101079	11061	0.00564804289544236	5-20kb
clu_101084	707	0.0577244772117962	<1kb
clu_101087	54986	0.0181518498659517	>50kb
clu_101096	3676	0.0795930563002681	1-5kb
clu_101106	15522	0.0625454155495979	5-20kb
clu_101114	279	0.016132091152815	<1kb
clu_101115	202	0.0243343967828418	<1kb
clu_101120	601	0.00442160857908847	<1kb
clu_101121	2126	0.00715750670241287	1-5kb
clu_101122	2663	0.000828954423592493	1-5kb
clu_101141	1303	0.00197528150134048	1-5kb
clu_101151	15488	0.041957399463807	5-20kb
clu_101154	11188	0.0229508847184987	5-20kb
clu_101163	9401	0.00428855227882037	5-20kb
clu_101168	1060	0.00684815013404826	1-5kb
clu_101170	419	0.0117687667560322	<1kb
clu_101172	6038	0.0150688471849866	5-20kb
clu_101174	2483	0.00385160857908847	1-5kb
clu_101175	1095	0.0202108310991957	1-5kb
clu_101177	1073	0.0726159517426273	1-5kb
clu_101197	27799	0.0130102680965147	20-50kb
clu_10120	19286	0.194502520107239	5-20kb
clu_101201	6619	0.0107113404825737	5-20kb
clu_101204	7717	0.0203908579088472	5-20kb
clu_101218	2573	0.00461211796246649	1-5kb
clu_101219	3043	0.010735254691689	1-5kb
clu_101232	1677	0.0111111260053619	1-5kb
clu_101233	7935	0.0670364879356568	5-20kb
clu_101234	8039	0.0594799731903485	5-20kb
clu_101238	30488	0.0661658713136729	20-50kb
clu_101268	5693	0.0716512600536193	5-20kb
clu_101269	6532	0.0378317694369973	5-20kb
clu_101270	3195	0.0392660321715818	1-5kb
clu_101276	34533	0.169053243967828	20-50kb
clu_101281	57042	0.0785717158176944	>50kb
clu_101294	75833	0.210428284182306	>50kb
clu_101302	1002	0.0407760589812332	1-5kb
clu_101303	1648	0.0113791689008043	1-5kb
clu_101306	1755	0.0538703217158177	1-5kb
clu_101313	353	0.0233672654155496	<1kb
clu_101315	943	0.00587426273458445	<1kb
clu_101318	9972	0.0286674798927614	5-20kb
clu_101320	8648	0.0502060053619303	5-20kb
clu_101323	10039	0.0318496514745308	5-20kb
clu_101326	382	0.0170473190348525	<1kb
clu_101327	1674	0.00503091152815013	1-5kb
clu_101336	3389	0.00895329758713137	1-5kb
clu_101339	9147	0.00352946380697051	5-20kb
clu_10134	610	0.00099313672922252	<1kb
clu_101340	3744	0.0869177211796247	1-5kb
clu_101344	1123	0.00462391420911528	1-5kb
clu_10135	105	0.000874879356568365	<1kb
clu_10136	3702	0.000509785522788204	1-5kb
clu_101380	280	0.0037771581769437	<1kb
clu_101387	1364	0.146142332439678	1-5kb
clu_101394	342	0.0220553619302949	<1kb
clu_101400	13790	0.0145513672922252	5-20kb
clu_101412	1246	0.0277693565683646	1-5kb
clu_101413	7382	0.149483378016086	5-20kb
clu_101420	632	0.0718488739946381	<1kb
clu_101423	7073	0.240206756032172	5-20kb
clu_101426	7073	0.0601146112600536	5-20kb
clu_101437	303	0.0337833243967828	<1kb
clu_101448	703	0.00825528150134048	<1kb
clu_101449	1623	0.0456902144772118	1-5kb
clu_101453	284	0.00318219839142091	<1kb
clu_101454	1763	0.00449731903485255	1-5kb
clu_101456	3833	0.00458067024128686	1-5kb
clu_101460	1580	0.00173723860589812	1-5kb
clu_101462	546	0.0189786058981233	<1kb
clu_101475	1235	0.00823182305630027	1-5kb
clu_101511	1999	0.0624624128686327	1-5kb
clu_101512	627	0.0956518230563003	<1kb
clu_101514	148	0.0105392225201072	<1kb
clu_101515	1003	0.0712960857908847	1-5kb
clu_101516	603	0.0315877211796247	<1kb
clu_101527	113	0.00415865951742627	<1kb
clu_101529	2630	0.0551708310991957	1-5kb
clu_101531	409	0.00158252010723861	<1kb
clu_101539	266	0.00973847184986595	<1kb
clu_101542	675	0.00274504021447721	<1kb
clu_101544	750	0.00324268096514745	<1kb
clu_101546	317	0.033959490616622	<1kb
clu_101547	325	0.00953560321715818	<1kb
clu_101548	182	0.00488214477211796	<1kb
clu_101549	4775	0.0176330294906166	1-5kb
clu_101569	3851	0.121426648793566	1-5kb
clu_101570	102	0.0108320107238606	<1kb
clu_101571	1658	0.0286848525469169	1-5kb
clu_101572	23043	0.0180732707774799	20-50kb
clu_101576	15952	0.0267700268096515	5-20kb
clu_101583	2201	0.0196524396782842	1-5kb
clu_101591	2735	0.0239930294906166	1-5kb
clu_101592	2321	0.00465809651474531	1-5kb
clu_101595	873	0.020568471849866	<1kb
clu_101599	526	0.176885040214477	<1kb
clu_10160	2581	0.0115921179624665	1-5kb
clu_101600	4304	0.358818873994638	1-5kb
clu_101605	3320	0.0287383378016086	1-5kb
clu_101606	3451	0.0348724396782842	1-5kb
clu_101609	2305	0.0280118498659517	1-5kb
clu_10161	3533	0.0142943967828418	1-5kb
clu_101615	3282	0.0233156032171582	1-5kb
clu_101617	3576	0.00762246648793566	1-5kb
clu_10163	16116	0.0095541018766756	5-20kb
clu_10164	1946	0.0520412600536193	1-5kb
clu_101648	4981	0.00805310991957105	1-5kb
clu_10165	15543	0.0111685254691689	5-20kb
clu_101654	282	0.191940294906166	<1kb
clu_101655	8682	0.361064021447721	5-20kb
clu_101657	85	0.0881949329758713	<1kb
clu_10166	3580	0.0881501608579088	1-5kb
clu_101660	222	0.00635613941018767	<1kb
clu_101662	152	0.00507793565683646	<1kb
clu_101666	358	0.0154621983914209	<1kb
clu_10167	7454	0.0458029490616622	5-20kb
clu_101673	85	0.00366651474530831	<1kb
clu_101677	650	0.129714021447721	<1kb
clu_10168	11100	0.0559781769436997	5-20kb
clu_101692	5921	0.0506081769436997	5-20kb
clu_101704	1637	0.0115769705093834	1-5kb
clu_101705	861	0.0212910991957105	<1kb
clu_10171	1464	0.00288088471849866	1-5kb
clu_101713	856	0.017561528150134	<1kb
clu_101715	5825	0.0113248793565684	5-20kb
clu_101716	22315	0.0668819034852547	20-50kb
clu_101721	1708	0.00774026809651475	1-5kb
clu_10174	574	0.0563701340482574	<1kb
clu_101748	1769	0.00103750670241287	1-5kb
clu_101750	10777	0.0135591957104558	5-20kb
clu_101755	9977	0.0273209651474531	5-20kb
clu_10178	12694	0.0507752278820375	5-20kb
clu_101782	224	0.0045101072386059	<1kb
clu_101783	13937	0.019880563002681	5-20kb
clu_101789	1031	0.0152377479892761	1-5kb
clu_101807	490	0.00524581769436997	<1kb
clu_101808	991	0.0515514745308311	<1kb
clu_101812	244	0.00429664879356568	<1kb
clu_101813	847	0.0159283109919571	<1kb
clu_101815	1998	0.0111541554959786	1-5kb
clu_101816	3389	0.00393801608579088	1-5kb
clu_101819	174	0.00935474530831099	<1kb
clu_101831	298	0.0169882573726542	<1kb
clu_101832	1030	0.0116043967828418	1-5kb
clu_101833	466	0.0392820643431635	<1kb
clu_101836	864	0.0242762466487936	<1kb
clu_101837	800	0.0144944504021448	<1kb
clu_101839	3436	0.0386336193029491	1-5kb
clu_101841	593	0.049384745308311	<1kb
clu_101842	126	0.0208637533512064	<1kb
clu_101843	133	0.00639686327077748	<1kb
clu_101844	303	0.0431965147453083	<1kb
clu_101849	207	0.0122724932975871	<1kb
clu_101851	363	0.0312975871313673	<1kb
clu_101854	1573	0.0185719839142091	1-5kb
clu_101856	103	0.0386495710455764	<1kb
clu_101858	101	0.0174681769436997	<1kb
clu_101860	412	0.00350005361930295	<1kb
clu_101864	155	0.0367057104557641	<1kb
clu_101865	120	0.00205892761394102	<1kb
clu_101866	125	0.01545581769437	<1kb
clu_101868	216	0.00294072386058981	<1kb
clu_101871	108	0.0216123056300268	<1kb
clu_101874	143	0.00341109919571046	<1kb
clu_101876	94	0.0101411796246649	<1kb
clu_101889	343	0.130104798927614	<1kb
clu_101890	104	0.0319103485254692	<1kb
clu_101895	320	0.00405281501340483	<1kb
clu_101896	3002	0.00618479892761394	1-5kb
clu_101902	1787	0.00986343163538874	1-5kb
clu_101904	2265	7.70241286863271e-05	1-5kb
clu_101906	4008	0.00161892761394102	1-5kb
clu_101907	14932	0.00866790884718499	5-20kb
clu_101915	71	0.00456203753351206	<1kb
clu_101916	4005	0.00979769436997319	1-5kb
clu_10192	3745	0.00226155495978552	1-5kb
clu_101943	2173	0.0301929490616622	1-5kb
clu_101944	726	0.0609509919571046	<1kb
clu_101945	1367	0.0768644504021448	1-5kb
clu_101953	194	0.00439018766756032	<1kb
clu_101954	332	0.00128517426273458	<1kb
clu_101961	293	0.00632520107238606	<1kb
clu_101962	179	0.00438670241286863	<1kb
clu_101963	339	0.0188956568364611	<1kb
clu_101964	2731	0.0661411260053619	1-5kb
clu_101974	246	0.020297855227882	<1kb
clu_101975	171	0.00338796246648794	<1kb
clu_101978	197	0.0276754959785523	<1kb
clu_101987	106	0.00435329758713137	<1kb
clu_101989	649	0.00228592493297587	<1kb
clu_102009	1046	0.00576670241286863	1-5kb
clu_102011	689	0.0114325201072386	<1kb
clu_102022	93	0.0362309383378016	<1kb
clu_102035	176	0.00896646112600536	<1kb
clu_102038	1857	0.00713662198391421	1-5kb
clu_102060	1172	0.26484471849866	1-5kb
clu_102070	8561	0.0686651474530831	5-20kb
clu_102079	17876	0.147020241286863	5-20kb
clu_102087	3202	0.00643348525469169	1-5kb
clu_102089	1300	0.00338777479892761	1-5kb
clu_102098	4329	0.022191528150134	1-5kb
clu_102107	2200	0.00934806970509383	1-5kb
clu_102117	13835	0.0491304021447721	5-20kb
clu_10213	3704	0.00730764075067024	1-5kb
clu_102131	267	0.00656485254691689	<1kb
clu_102132	3998	0.0132820107238606	1-5kb
clu_10214	8820	0.015401581769437	5-20kb
clu_102158	29818	0.359614504021448	20-50kb
clu_102165	94	0.0163876675603217	<1kb
clu_102166	3636	7.1313672922252e-05	1-5kb
clu_102167	7091	0.000282278820375335	5-20kb
clu_102168	374	0.0838543699731903	<1kb
clu_102174	7797	0.0111190080428954	5-20kb
clu_10218	2553	0.00289399463806971	1-5kb
clu_102183	1437	0.00550796246648794	1-5kb
clu_102184	5110	0.0832906166219839	5-20kb
clu_102191	16916	0.0318585254691689	5-20kb
clu_102192	7466	0.0176419839142091	5-20kb
clu_102193	68521	0.0298098659517426	>50kb
clu_102195	4511	0.00471906166219839	1-5kb
clu_102196	1683	0.021740509383378	1-5kb
clu_10221	87	0.408519678284182	<1kb
clu_102212	2311	0.181638981233244	1-5kb
clu_102213	953	0.155788766756032	<1kb
clu_102220	1162	0.037077345844504	1-5kb
clu_10223	47194	0.0474470241286863	20-50kb
clu_102239	72	0.0311772117962466	<1kb
clu_10226	1998	0.0195076675603217	1-5kb
clu_102262	3903	0.0288596246648794	1-5kb
clu_102263	2675	0.00238335120643432	1-5kb
clu_102266	229	0.0172686863270777	<1kb
clu_102270	2959	0.00420163538873995	1-5kb
clu_102277	940	0.00146276139410188	<1kb
clu_102292	10842	0.0205515013404826	5-20kb
clu_102293	2513	0.106744772117962	1-5kb
clu_10231	3615	0.00968756032171582	1-5kb
clu_102314	178	0.000209678284182306	<1kb
clu_10232	436	0.0243922788203753	<1kb
clu_102325	2806	0.0685058445040214	1-5kb
clu_102326	18682	0.0933017962466488	5-20kb
clu_102328	1652	0.042684235924933	1-5kb
clu_102329	32129	0.198143914209115	20-50kb
clu_102332	21807	0.0506332707774799	20-50kb
clu_102333	2188	0.328860160857909	1-5kb
clu_102343	22549	0.00527002680965147	20-50kb
clu_102345	2746	0.032135254691689	1-5kb
clu_102346	5609	0.0567799731903485	5-20kb
clu_102347	87	0.0164602144772118	<1kb
clu_102349	1416	0.00597195710455764	1-5kb
clu_10235	887	0.00731565683646113	<1kb
clu_102350	4592	0.00715611260053619	1-5kb
clu_10236	380	0.0675522252010724	<1kb
