tissue_pair	splicing_class	n_genes	df	spearman_rho	ci_low_95	ci_high_95	p_value_two_sided	bh_adjusted_p	significant_at_fdr_0.1
Kidney-Cortex_v_Brain-Anteriorcingulatecortex_BA24	unproductive	140	138	-0.6479718352977194	-0.742480970093935	-0.5281699272432056	4.9985883221913474e-18	1.440843083871656e-15	True
Esophagus-Mucosa_v_Brain-FrontalCortex_BA9	unproductive	186	184	-0.5732461804568066	-0.668861150017451	-0.4589731401317816	1.223403847845131e-17	2.624720533817182e-15	True
Brain-Cortex_v_Lung	unproductive	171	169	-0.592591259269926	-0.6887656979128223	-0.4759207092608176	1.3658563055423324e-17	2.624720533817182e-15	True
Brain-FrontalCortex_BA9_v_Cells-EBV-transformedlymphocytes	unproductive	252	250	-0.5011941693043375	-0.5932568194138393	-0.3961909390372693	1.966000819234835e-17	3.238284206539664e-15	True
Kidney-Cortex_v_Brain-FrontalCortex_BA9	unproductive	165	163	-0.5963321133758984	-0.6934417863521052	-0.47794390802673914	2.887769324994913e-17	4.156499405473805e-15	True
Brain-Amygdala_v_Cells-EBV-transformedlymphocytes	unproductive	202	200	-0.5478113505049498	-0.6435714843031312	-0.43516532702191896	3.244448798721964e-17	4.156499405473805e-15	True
Brain-Cortex_v_SmallIntestine-TerminalIleum	unproductive	183	181	-0.5673693733209059	-0.6646178482338572	-0.45121872697622417	5.564043031489068e-17	6.415341615306895e-15	True
Brain-Cortex_v_Testis	unproductive	290	288	-0.4609092485826433	-0.5512307505140037	-0.35991027547667953	1.1692911754913646e-16	1.225629750310494e-14	True
Testis_v_Brain-Cerebellum	unproductive	428	426	-0.3758262573951252	-0.4570394187303812	-0.2883983324632026	8.320395534242668e-16	7.994513375818163e-14	True
SmallIntestine-TerminalIleum_v_Brain-FrontalCortex_BA9	unproductive	211	209	-0.5158275954573908	-0.6139862664548389	-0.4019571844752381	9.632674131505297e-16	8.033312140424681e-14	True
Lung_v_Brain-FrontalCortex_BA9	unproductive	187	185	-0.5429679327898876	-0.6429161539866054	-0.4248379571833456	9.901110883403925e-16	8.033312140424681e-14	True
MinorSalivaryGland_v_Brain-FrontalCortex_BA9	unproductive	189	187	-0.5401517979345527	-0.6400197401154728	-0.4223367380445214	1.0450969827091954e-15	8.033312140424681e-14	True
Brain-Anteriorcingulatecortex_BA24_v_WholeBlood	unproductive	222	220	-0.5019904347258608	-0.5995868525378198	-0.3896822096158156	1.4237939201799576e-15	9.809178907328007e-14	True
Testis_v_Brain-Anteriorcingulatecortex_BA24	unproductive	227	225	-0.4970299711307039	-0.594218387011306	-0.3855359569281936	1.4462796307422039e-15	9.809178907328007e-14	True
Brain-Anteriorcingulatecortex_BA24_v_Cells-EBV-transformedlymphocytes	unproductive	228	226	-0.4945199695851984	-0.5918107845900344	-0.38302800455121716	1.8271312608778278e-15	1.1361719928291991e-13	True
Testis_v_Brain-CerebellarHemisphere	unproductive	429	427	-0.3709842645943493	-0.45241888180096573	-0.28341404811284737	1.912728321349768e-15	1.1361719928291991e-13	True
Brain-Caudate_basalganglia_v_Cells-EBV-transformedlymphocytes	unproductive	220	218	-0.501785724348174	-0.5998212723087076	-0.3889072761289826	1.9708100482726784e-15	1.1361719928291991e-13	True
Stomach_v_Brain-FrontalCortex_BA9	unproductive	150	148	-0.5872207653673497	-0.6902591019898265	-0.4608393406938533	2.8328148432049094e-15	1.55535024486441e-13	True
Brain-Nucleusaccumbens_basalganglia_v_Cells-EBV-transformedlymphocytes	unproductive	221	219	-0.4965123906300377	-0.594990227261789	-0.3833472474643423	3.702931738197609e-15	1.9406728609735651e-13	True
Brain-Cortex_v_Cells-EBV-transformedlymphocytes	unproductive	238	236	-0.4800348400575209	-0.5770630387326892	-0.3696441657666389	4.026292822195505e-15	2.0183980973875729e-13	True
Brain-Cortex_v_Kidney-Cortex	unproductive	138	136	-0.6022183205514293	-0.7064017172876971	-0.472493941086456	5.5740537895046735e-15	2.6778683413745366e-13	True
