tissue	sqtl_class	n_donors	n_pairs	spearman_rho	t	df	exact_two_sided_P	ci95_low	ci95_high
Adipose-Subcutaneous	p-sQTL (productive intron)	581	5574	-0.0047694645651635	-0.3560246925653191	5572	0.7218355517227297	-0.031018897073176756	0.02148654237274521
Adipose-Subcutaneous	u-sQTL (unproductive intron)	581	1663	-0.1154033625461493	-4.734941989909168	1661	2.3774108502530702e-06	-0.16272556812748457	-0.0675514502216788
Adipose-Visceral_Omentum	p-sQTL (productive intron)	469	4514	-0.0058088841891469	-0.39019759739437504	4512	0.6964088572157098	-0.03497669525847033	0.023368814510983726
Adipose-Visceral_Omentum	u-sQTL (unproductive intron)	469	1292	-0.1511351954402282	-5.491336244985083	1290	4.7993252236857477e-08	-0.2042886211291783	-0.09709319613279219
AdrenalGland	p-sQTL (productive intron)	233	2610	0.0235490903011446	1.2029522341526782	2608	0.2291039981171485	-0.014837204611338549	0.06186607255887166
AdrenalGland	u-sQTL (unproductive intron)	233	670	-0.1952930346104305	-5.146582162872051	668	3.4923676873446174e-07	-0.2677556036121608	-0.12063360242978216
Artery-Aorta	p-sQTL (productive intron)	387	3999	-0.0009557584192571	-0.060424825499915645	3997	0.9518203077981192	-0.031950145553948005	0.030040465128450645
Artery-Aorta	u-sQTL (unproductive intron)	387	1068	-0.1689199397995002	-5.595587682879683	1066	2.794600519015525e-08	-0.22701490543517105	-0.10962706386411167
Artery-Coronary	p-sQTL (productive intron)	213	2224	0.005360898880064	0.25270619199846434	2222	0.8005186372179137	-0.0362120608051487	0.04691533568851053
Artery-Coronary	u-sQTL (unproductive intron)	213	608	-0.1497013474818716	-3.727209084619846	606	0.0002117381598101	-0.22694288927611517	-0.07058826879132708
Artery-Tibial	p-sQTL (productive intron)	584	5393	-0.0128463503516613	-0.9433009385011514	5391	0.3455692667437833	-0.03952402032411893	0.013849620630528223
Artery-Tibial	u-sQTL (unproductive intron)	584	1542	-0.1799404999830991	-7.1785469847265935	1540	1.0918170959697168e-12	-0.22819522426608022	-0.13080391858604698
Brain-Amygdala	p-sQTL (productive intron)	129	968	0.0064545229868978	0.20061424225894509	966	0.8410424490578176	-0.05657902800119205	0.0694368229529179
Brain-Amygdala	u-sQTL (unproductive intron)	129	251	-0.0787707812006373	-1.2468562499999891	249	0.2136217937292622	-0.20081826450577706	0.04568461532064577
Brain-Anteriorcingulatecortex_BA24	p-sQTL (productive intron)	147	1417	0.0118005177327817	0.44392491695050684	1415	0.6571647448095679	-0.04030118658261438	0.0638382247529069
Brain-Anteriorcingulatecortex_BA24	u-sQTL (unproductive intron)	147	319	-0.0850600759486781	-1.5199601987534495	317	0.1295177347050772	-0.1932604853385362	0.02518440051328073
Brain-Caudate_basalganglia	p-sQTL (productive intron)	194	1883	0.005413117677527	0.23477304303471097	1881	0.8144104445517271	-0.03976937276981581	0.05057351698483297
Brain-Caudate_basalganglia	u-sQTL (unproductive intron)	194	471	-0.1364179826301871	-2.982202983466286	469	0.0030108366241684	-0.22440860296741727	-0.04622094014747018
Brain-CerebellarHemisphere	p-sQTL (productive intron)	175	2243	0.0193581828288044	0.9165726718476688	2241	0.3594652326049654	-0.022051500166991752	0.060701557936750784
Brain-CerebellarHemisphere	u-sQTL (unproductive intron)	175	703	0.0163165719528326	0.43206167837214254	701	0.6658294517559571	-0.05770241605135501	0.09015715258334173
Brain-Cerebellum	p-sQTL (productive intron)	209	2608	0.0081664879555791	0.4169049138138122	2606	0.6767822971504105	-0.030225910559323128	0.046534825534713144
Brain-Cerebellum	u-sQTL (unproductive intron)	209	779	-0.0033163028507646	-0.09244152083437589	777	0.9263710802207932	-0.07354210052016207	0.06694222019523438
Brain-Cortex	p-sQTL (productive intron)	205	2181	0.0155883008908132	0.7277465702562478	2179	0.4668469250833204	-0.026403934520075688	0.05752561965948374
Brain-Cortex	u-sQTL (unproductive intron)	205	556	-0.1163401154186501	-2.757042984313565	554	0.0060250085285119	-0.19785291400009072	-0.0332293757400984
Brain-FrontalCortex_BA9	p-sQTL (productive intron)	175	1714	0.0082906643612485	0.3430489859344771	1712	0.7316037256002674	-0.039073115297264135	0.05561727330425452
Brain-FrontalCortex_BA9	u-sQTL (unproductive intron)	175	428	-0.0817907310782078	-1.6938167584176897	426	0.0910310661231715	-0.1753731060181181	0.013256457911994644
Brain-Hippocampus	p-sQTL (productive intron)	165	1238	0.0076064759792261	0.26742702785957095	1236	0.7891850076890584	-0.04812876452163072	0.0632944960129999
Brain-Hippocampus	u-sQTL (unproductive intron)	165	312	-0.1158773533505783	-2.0540685108418257	310	0.0408073563297767	-0.22438831744936477	-0.004528074093571906
Brain-Hypothalamus	p-sQTL (productive intron)	170	1502	0.0123624922222357	0.478833856721321	1500	0.6321266187036779	-0.038243081377038315	0.06290481648597392
Brain-Hypothalamus	u-sQTL (unproductive intron)	170	392	-0.1271320629304654	-2.5311957068214737	390	0.01175956729246	-0.22374836120735908	-0.028041510029449233
Brain-Nucleusaccumbens_basalganglia	p-sQTL (productive intron)	202	1842	0.002676009813854	0.11478844384498371	1840	0.9086253333112384	-0.04300184775238045	0.04834270321885031
Brain-Nucleusaccumbens_basalganglia	u-sQTL (unproductive intron)	202	489	-0.0649110464910516	-1.4354893082107474	487	0.1517896579933847	-0.15279579179750025	0.02399232320043702
Brain-Putamen_basalganglia	p-sQTL (productive intron)	170	1459	-0.0143730506746378	-0.5486856430363574	1457	0.5833052661277542	-0.06564715860111692	0.03697675895164947
Brain-Putamen_basalganglia	u-sQTL (unproductive intron)	170	351	-0.1482437573976889	-2.800363564905104	349	0.0053886919489373	-0.24959888762666077	-0.0436756932330331
Brain-Spinalcord_cervicalc-1	p-sQTL (productive intron)	126	1184	0.0334482810656674	1.1506033120579038	1182	0.2501281858998563	-0.02358340894662079	0.090262967542034
Brain-Spinalcord_cervicalc-1	u-sQTL (unproductive intron)	126	306	-0.1274529471804439	-2.2404901200608687	304	0.0257812391093455	-0.23663190563746156	-0.015095404110348936
