Term,Overlap,P-value,Adjusted P-value,Odds Ratio,cluster_id
GOBP NUCLEAR ENVELOPE ORGANIZATION,7 / 58,2.63e-05,2.36e-02,9.67,Group VI (Testis)
GOBP CELLULAR RESPONSE TO DNA DAMAGE STIMULUS,114 / 868,2.42e-12,1.28e-08,2.22,Groups III/IV/V (Other tissues)
GOBP DNA REPAIR,80 / 584,7.47e-10,1.98e-06,2.30,Groups III/IV/V (Other tissues)
GOBP PROTEIN N LINKED GLYCOSYLATION,12 / 72,5.29e-05,3.76e-02,4.65,Groups I/II (Brain)
GOBP RESPONSE TO IONIZING RADIATION,27 / 144,1.02e-06,5.37e-04,3.30,Groups III/IV/V (Other tissues)
GOBP CENTROSOME DUPLICATION,12 / 75,8.00e-05,4.43e-02,4.43,Groups I/II (Brain)
GOBP DOUBLE STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING,15 / 68,3.56e-05,5.70e-03,4.06,Groups III/IV/V (Other tissues)
GOBP REGULATION OF TELOMERE MAINTENANCE,20 / 104,1.69e-05,4.25e-03,3.41,Groups III/IV/V (Other tissues)
GOBP DOUBLE STRAND BREAK REPAIR,45 / 303,4.26e-07,3.22e-04,2.50,Groups III/IV/V (Other tissues)
GOBP HISTONE MODIFICATION,64 / 478,9.15e-08,1.21e-04,2.22,Groups III/IV/V (Other tissues)
GOBP DNA METABOLIC PROCESS,119 / 1043,5.90e-09,1.04e-05,1.88,Groups III/IV/V (Other tissues)
GOBP RECOMBINATIONAL REPAIR,29 / 175,5.52e-06,1.95e-03,2.84,Groups III/IV/V (Other tissues)
GOBP MONOSACCHARIDE METABOLIC PROCESS,28 / 256,5.94e-06,8.78e-03,2.84,Groups I/II (Brain)
GOBP TRNA MODIFICATION,18 / 95,5.39e-05,7.51e-03,3.35,Groups III/IV/V (Other tissues)
GOBP NCRNA METABOLIC PROCESS,54 / 613,4.90e-07,2.17e-03,2.25,Groups I/II (Brain)
GOBP DNA INTEGRITY CHECKPOINT SIGNALING,23 / 132,2.20e-05,4.90e-03,3.02,Groups III/IV/V (Other tissues)
GOBP NCRNA PROCESSING,41 / 433,2.01e-06,4.44e-03,2.42,Groups I/II (Brain)
GOBP TRNA MODIFICATION,13 / 95,2.11e-04,5.83e-02,3.68,Groups I/II (Brain)
GOBP FOCAL ADHESION ASSEMBLY,12 / 86,3.04e-04,7.48e-02,3.77,Groups I/II (Brain)
