sampleID	condition	path_to_file	bam_file	bai_file
SRR4081231	HeLa_SMG6	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081231/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081231/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081231/1/Filtered.bam.bai
SRR4081232	HeLa_SMG6	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081232/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081232/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081232/1/Filtered.bam.bai
SRR4081233	HeLa_SMG6	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081233/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081233/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG6.KD/SRR4081233/1/Filtered.bam.bai
SRR4081240	HeLa_SMG7	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081240/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081240/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081240/1/Filtered.bam.bai
SRR4081241	HeLa_SMG7	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081241/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081241/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081241/1/Filtered.bam.bai
SRR4081242	HeLa_SMG7	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081242/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081242/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.SMG7.KD/SRR4081242/1/Filtered.bam.bai
SRR4081225	HeLa_UPF1	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081225/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081225/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081225/1/Filtered.bam.bai
SRR4081226	HeLa_UPF1	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081226/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081226/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081226/1/Filtered.bam.bai
SRR4081227	HeLa_UPF1	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081227/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081227/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.UPF1.KD/SRR4081227/1/Filtered.bam.bai
SRR4081246	HeLa_dKD	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.dKD/SRR4081246/1/SJ.out.tab	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.dKD/SRR4081246/1/Filtered.bam	/project2/yangili1/cfbuenabadn/ChromatinSplicingQTLs/code/Alignments/STAR_Align/NMD_KD/HeLa.dKD/SRR4081246/1/Filtered.bam.bai
